16
USER                 PID                  SZ                   LWP                  TIME                
akash                125                  804                  36204                213777132           
avahi                2                    2                    39                   22819               
colord               1                    3                    0                    225906              
daemon               1                    1                    0                    6511                
geoclue              1                    3                    0                    271944              
message+             1                    1                    63                   11152               
mysql                1                    28                   93                   8670620             
nobody               1                    1                    21                   13216               
postfix              2                    2                    0                    33750               
root                 126                  169                  4035                 7440962             
rtkit                1                    3                    0                    137658              
syslog               1                    4                    0                    256392              
systemd+             1                    2                    0                    51192               
uuidd                1                    1                    0                    7039                
whoopsie             1                    3                    0                    335766              
www-data             5                    5                    0                    353595              
